State,R2 Score,RMSE,MAE,MAPE (%)
Arunachal_Pradesh,0.9957,0.43,0.33,0.11
Uttar_Pradesh,0.9955,0.39,0.28,0.09
Rajasthan,0.9949,0.41,0.32,0.11
Bihar,0.994,0.42,0.34,0.11
Madhya_Pradesh,0.9938,0.33,0.24,0.08
Punjab,0.9931,0.56,0.44,0.15
Assam,0.993,0.37,0.31,0.1
Haryana,0.9908,0.63,0.53,0.18
Maharashtra,0.9897,0.28,0.2,0.07
Chhattisgarh,0.9894,0.39,0.31,0.11
Uttarakhand,0.9889,0.93,0.63,0.22
Telangana,0.9888,0.34,0.24,0.08
Andhra_Pradesh,0.9877,0.37,0.3,0.1
Odisha,0.9866,0.45,0.36,0.12
Jharkhand,0.9864,0.56,0.48,0.16
Tripura,0.9845,0.53,0.4,0.14
Meghalaya,0.9838,0.49,0.4,0.14
Karnataka,0.9822,0.3,0.21,0.07
West_Bengal,0.9807,0.66,0.55,0.18
Mizoram,0.9804,0.52,0.42,0.14
Tamil_Nadu,0.9794,0.43,0.36,0.12
Manipur,0.9779,0.6,0.51,0.17
Gujarat,0.9734,0.68,0.48,0.16
Nagaland,0.9611,0.81,0.68,0.23
Goa,0.9565,0.59,0.51,0.17
Himachal_Pradesh,0.9556,2.97,2.4,0.84
Sikkim,0.8888,2.92,2.13,0.73
Kerala,0.7722,1.43,1.05,0.35
